Stagione,Squadra,C_bat_pos,C_bat_neg,C_att_pos,C_att_neg,C_mur_pos,C_mur_neg,L_ric_pos,L_ric_neg,P_bat_pos,P_bat_neg,P_att_pos,P_att_neg,S_bat_pos,S_bat_neg,S_ric_pos,S_ric_neg,S_att_pos,S_att_neg,S_mur_pos,S_mur_neg,Playoff,Posizione
2001,Asystel Milano,0.2395186225,0.47714804400000005,0.6720229575000001,0.044643709250000004,0.64548762375,0.071179043,0.33447279350000003,0.1261332675,0.220247097,0.24944987299999996,0.431553295,0.0381436745,0.24292944260000002,0.4516160116000001,0.48608995879999994,0.20845549559999998,0.6389769507999999,0.05556850379999999,0.5910701279999999,0.10347532639999998,1,5
2001,Borgocanale Taranto,0.12398125300000001,0.22298844425,0.324253565,0.02271613175,0.28102857324999997,0.052304760000000006,0.0,0.0,0.133197648,0.2122568975,0.317595308,0.0278592375,0.125216935,0.1862982164,0.22127044220000003,0.0902447094,0.2750532148,0.036461936400000006,0.2199816346,0.023654729000000003,0,10
2001,Bossini Sangemini Montichiari,0.10428700825000001,0.1654099615,0.24605395175,0.023643018,0.22081653975,0.048880429749999996,0.252811516,0.0805218175,0.0813790075,0.248924023,0.3173499705,0.01295306,0.2074864124,0.25433176939999996,0.3150800166,0.1467381654,0.3936605694,0.06815761220000001,0.3454239614,0.1163942206,1,7
2001,Casa Modena Salumi,0.24602183600000002,0.4085236185,0.6200925107499999,0.03445294375,0.57820467925,0.07634077524999999,0.30665402,0.102436889,0.30942360950000003,0.35421275399999996,0.616158116,0.047478248,0.21056641199999998,0.26700934540000004,0.29666093939999993,0.18091481799999998,0.43782448799999996,0.0397512696,0.41041661300000004,0.0671591446,1,4
2001,Icom Latina,0.0476,0.1069454545,0.14436222699999998,0.010183227750000001,0.14534632025,0.009199134250000001,0.0,0.0,0.10982925699999999,0.20835256100000002,0.2949002215,0.023281596499999998,0.0659211584,0.05771520520000001,0.0247272728,0.098909091,0.112054176,0.011582187599999998,0.1120454546,0.011590909,0,11
2001,Itas Diatec Trentino,0.12144738025,0.29673443774999997,0.39474791875,0.02343389925,0.37149797300000004,0.0466838455,0.245335876,0.07890654799999999,0.1483333845,0.303181767,0.4446386945,0.006876457,0.2224231462,0.26727382340000005,0.33212042399999997,0.1575765454,0.4485224318,0.04117453780000001,0.4250757468,0.064621223,0,9
2001,Lube Banca Marche Macerata,0.1653306145,0.29679059775,0.43555055374999996,0.0265706585,0.41586917824999997,0.046252033750000004,0.2916325605,0.0750341065,0.12530182550000002,0.3595466595,0.4186868690000001,0.06616161599999999,0.2512817648,0.23356671999999995,0.3083801978,0.176468287,0.4386279086,0.046220576400000005,0.41954086319999995,0.030156106599999993,1,1
2001,Maxicono Parma,0.1220415,0.33250395450000003,0.42406284625,0.0304826085,0.43224843300000004,0.0222970215,0.3345001355,0.1230756225,0.18063663249999998,0.25572700400000004,0.406060606,0.030303030499999998,0.19436516359999997,0.2589681698,0.2964395956,0.1568937378,0.41574397220000003,0.037589361,0.3968609932,0.056472340200000005,1,3
2001,Noicom Brebanca Cuneo,0.1897480255,0.26782773175,0.42830675500000004,0.029269002500000002,0.363826999,0.09374875875,0.2115606935,0.08843930650000001,0.08347332,0.24682971,0.3143434345,0.022020202000000003,0.3260280064,0.3345780546,0.4631537238,0.197452337,0.6076997848000001,0.052906276200000005,0.5443083127999999,0.11629774779999999,1,6
2001,Roma Volley,0.0176833135,0.044437898249999996,0.05756757875,0.0045536335,0.050284090749999996,0.011837120999999999,0.103375068,0.0602612955,0.0230958635,0.067813227,0.0025974025,0.0004329005,0.043266399,0.0634002678,0.059259259200000004,0.047407407400000004,0.0937634408,0.012903225800000001,0.0914285714,0.0152380952,0,14
2001,Sempre Volley Padova,0.08722057249999998,0.18853700325,0.26007585050000004,0.0156817255,0.2153368795,0.06042069625,0.321145153,0.097036665,0.112937063,0.299184149,0.3906565655,0.0214646465,0.20346965379999998,0.2086515584,0.27199148759999997,0.1401297246,0.3758686918,0.0362525204,0.3102453398,0.10187587219999998,0,13
2001,Sira Cucine Ancona,0.0489637305,0.1010362695,0.143312102,0.006687898,0.13369565225,0.01630434775,0.0,0.0,0.0,0.0,0.0,0.0,0.052469999200000006,0.07722697059999999,0.08462776479999999,0.045069205,0.1197035684,0.0099934014,0.11024242420000001,0.0194545454,0,12
2001,Sisley Treviso,0.143307151,0.24305648525,0.36131618375,0.025047452749999997,0.3469307285,0.039432908,0.34586978549999997,0.12988779,0.16186438050000002,0.413893195,0.485130921,0.090626655,0.290731316,0.35532928980000006,0.39475625880000004,0.2513043472,0.5890334690000001,0.057027137000000006,0.5705157512,0.075544855,1,2
2001,Yahoo! Italia Volley Ferrara,0.12974068049999998,0.23692598599999998,0.34413913325,0.0225275335,0.31454231975,0.052124347,0.299020849,0.094918545,0.0293353705,0.0888464475,0.11818181850000001,0.0,0.1811474728,0.2394585876,0.2688892102,0.1517168506,0.382671065,0.0379349958,0.3410247934,0.0795812672,1,8
2002,Asystel Milano,0.10590615525,0.254699905,0.33263686400000003,0.027969196749999998,0.32693655425,0.0336695065,0.2441354725,0.095258467,0.1541757445,0.2124909225,0.3357894735,0.030877192999999997,0.22475914160000002,0.3473620708,0.3767146426,0.1420732362,0.5341398216000001,0.03798139060000001,0.45751035560000003,0.061277523,1,4
